98	-4	-59	148	117	-20	
205	-70	-49	111	106	83	
-98	58	-14	-29	-12	-9	
-36	54	-152	9	12	-44	
-150	-68	-58	-173	-107	26	
-58	76	-122	191	-126	-104	
13893	8413	6245	14184	8123	11268	
14702	12085	6167	14098	6266	12050	
14465	14638	6164	14080	5774	13140	
14077	14107	6182	13610	7431	13249	
13844	11075	5787	13807	10741	12716	
13214	7777	4794	14010	12475	10878	
13260	6263	4002	13149	12532	9230	
12700	7976	3981	13842	11244	8522	
11547	10995	4374	13366	8302	8736	
11304	12955	5611	12768	6302	9780	
10681	12761	7821	11705	6166	9178	
9720	9405	8450	11439	7552	11137	
9705	6945	8999	10872	9860	10085	
8646	7086	8139	11014	11925	10273	
8033	10449	7666	10577	12545	10223	
7551	14369	7204	10280	11327	10861	
6745	14773	7575	9157	9056	11281	
7178	12998	7785	8473	7111	12081	
6481	9302	8686	8238	5879	11029	
6005	8053	7939	7855	7113	11067	
6500	8332	6053	7917	9009	10398	
7349	11503	4309	8037	11139	9392	
6923	14030	3328	7085	13062	8899	
8391	12784	3533	8133	12035	8829	
8794	10083	4984	6778	10215	9687	
9315	7431	7008	6328	6784	10379	
10033	5789	7671	6762	5721	10616	
10357	8482	7398	6941	6227	10179	
10548	11999	6443	7505	8806	10358	
11371	13676	5656	7650	11619	10073	
11132	12562	6088	8280	13163	10431	
11294	9052	8136	8317	12233	11934	
12262	7561	9878	7755	9668	13706	
12097	8348	10220	8489	7010	14292	
12384	11456	8667	9518	6026	13130	
12811	14428	6180	10373	6025	11944	
13763	15285	4291	10987	8454	10675	
13016	12333	4137	10952	11417	9643	
13731	9149	5412	11508	13016	9213	
13641	7163	6954	11778	12535	9107	
13634	8320	7123	13012	9848	10422	
12741	10977	6182	13141	7259	11074	
11758	12982	4639	13702	6367	11586	
11237	12980	3986	14388	6326	9900	
9854	9399	5127	13419	7860	9141	
8994	6328	7028	13522	10568	8838	
8240	5992	9572	12530	12224	10212	
7587	8831	10482	12449	12029	11032	
6787	13014	9535	12347	10789	12707	
6601	14464	7782	13154	8483	12991	
7229	13302	5876	12215	6378	12583	
6348	9210	6530	11369	6122	10976	
6923	8541	7520	10306	7558	9721	
7206	8435	8048	10302	9624	8561	
7056	12131	7720	9356	12018	8860	
7603	13983	5862	8606	12882	8851	
7281	14733	3561	9176	11038	9943	
8052	11417	3378	8793	8545	9937	
8774	8091	3563	7798	6560	10255	
9820	6357	4996	7335	5376	9832	
10301	7516	6815	7509	6726	10556	
11462	10703	6851	7221	9762	11533	
11866	12967	7459	7463	12197	12535	
12957	12145	7532	7762	13359	13204	
13669	8789	7642	8126	11880	13626	
13533	6598	7653	7158	9101	12954	
14142	7261	8461	7306	6653	11200	
13449	10063	9356	7161	5477	10568	
13211	13683	9632	7084	6900	10427	
12819	14607	9125	7911	9435	10530	
12121	13451	8026	7859	11872	11275	
11598	9571	6323	9010	12906	11570	
11085	7619	4800	8485	12040	10413	
10738	9005	3968	8770	9091	9360	
10752	11625	4071	9111	6653	8332	
9483	14495	5400	9574	5670	7462	
9948	13825	5396	10779	6768	8530	
9726	10302	5519	11074	8634	10462	
9376	7385	4785	11059	11320	12233	
8879	5705	4724	12598	12690	13919	
9017	7870	4848	11541	11975	13264	
8455	11406	6738	12037	10424	12084	
8458	13341	8498	12291	7396	10143	
7566	12175	10177	13576	6285	9563	
7884	9279	10804	13069	6525	8881	
7233	6717	9543	13937	8135	9317	
7343	7430	8066	13012	10882	10325	
7719	10252	6692	13602	12816	10716	
7566	14357	6870	13333	12992	10564	
8122	15088	7252	12167	10372	9478	
8439	12591	8197	12388	7991	8355	
9368	9196	6727	12259	5428	8739	
10454	7260	5052	11304	5670	9915	
10462	7911	2787	11156	7907	11592	
11159	11524	1972	10149	10456	12903	
11677	13401	2486	8999	12623	13408	
11544	12334	5405	8676	12495	13430	
12493	10320	7334	8579	10746	12369	
12600	6302	8609	7727	7950	11696	
12494	6031	7631	8193	6077	10999	
12897	8698	6780	8496	5838	10835	
12573	11708	6290	7392	7366	11139	
13066	13734	7525	6588	10318	10634	
12998	11994	9749	7101	12210	9325	
13482	9140	10992	6457	12599	8849	
12636	7323	11225	7189	10682	8614	
11429	8600	8378	7649	8504	8188	
11299	11652	6530	7672	6336	9681	
10659	14614	4728	8072	5552	10316	
9847	14954	4562	7902	7239	11815	
8786	12006	4946	7450	9708	12453	
7897	7774	6302	9009	12059	11667	
7556	6404	6146	8877	12434	11217	
7241	8741	4481	8643	11161	10010	
7194	11895	3604	9657	9322	9570	
7342	13314	3845	9493	6838	10924	
7597	11858	4840	9452	6056	11415	
8134	9327	7156	10196	6320	11631	
8471	6040	8276	10683	8769	11356	
8997	6602	9501	11715	11731	9257	
9204	9780	8827	11764	12578	8282	
9247	13013	8463	12444	11860	8224	
9426	14506	7744	13366	9830	8701	
10253	13174	7434	13189	7347	10069	
10198	9789	8014	12718	5653	12482	
9955	7760	8071	13055	5840	13838	
10044	8104	7753	13085	9019	14078	
10435	11246	6479	13871	11485	12818	
11045	14389	5618	13865	13124	11514	
10736	14817	4181	14057	12420	11013	
11828	11017	3533	13033	9844	10766	
10994	7552	3901	11999	7310	11419	
11327	5835	5291	12289	5448	11430	
11805	7757	6479	11839	6061	11820	
11618	11244	7586	11289	8359	10411	
11551	12792	7704	10992	10668	9360	
11394	12197	6981	10307	12778	8108	
11835	8245	6841	9636	12403	7730	
10672	7226	7211	8157	10382	8049	
10842	7041	7624	8540	7664	10192	
10822	10292	8743	8953	6340	11100	
10207	13741	9801	7393	6133	11005	
10754	14687	8699	7692	8189	11278	
10085	12969	6386	7799	10329	10971	
9959	9423	5197	6553	12109	10516	
10120	7554	4160	6225	12758	11379	
9718	8950	4428	6228	11182	12623	
9433	12372	5823	7062	8433	11516	
8781	14459	6888	6892	6580	11503	
8355	13107	6890	7280	5766	9675	
8098	9756	5690	7424	7429	8638	
8573	6674	5115	7179	9563	8353	
8179	6498	4934	7384	12028	8473	
8208	8525	6992	8715	13119	9776	
8244	11807	8461	9229	11300	11104	
8815	13342	10301	9034	8695	12372	
9482	12044	10312	9621	6370	12206	
9377	9260	7964	9715	5486	11588	
10506	7655	6205	9615	7081	11660	
11084	7796	5314	10039	9485	11459	
11228	11202	5773	11039	12292	11175	
11495	14574	6747	11886	12975	11891	
11602	14853	7357	12363	11214	13035	
11800	12656	6861	12526	8816	13048	
11146	9314	5628	13230	6304	12126	
11202	7646	3202	12391	5307	10547	
11392	8556	3613	13299	6297	9178	
10682	11428	4279	12533	9248	7710	
10446	13600	6995	13023	12081	7763	
10535	12797	8297	13593	12695	8993	
10780	9081	8881	13530	11987	9585	
10917	6448	8380	13212	9516	11002	
10628	6349	6963	12541	6571	11681	
10679	9094	6643	12271	5971	11381	
10684	11854	8024	11616	7065	10459	
10815	13561	9291	11660	8898	10308	
10003	12951	9030	11930	11007	10794	
10367	9355	8594	10853	12423	11419	
9587	7694	7266	9190	11835	12148	
10125	8673	4757	8554	10466	12215	
9498	11775	3646	7557	7781	11148	
9237	14662	4017	7308	5752	9717	
9961	14301	4191	7643	5718	9403	
10266	11247	5594	7197	7301	8650	
9792	8202	6170	6653	10603	9748	
9554	6891	5693	6552	11875	11391	
10032	8869	5572	6063	12656	11021	
9416	12314	6198	6048	10727	11175	
9387	13235	6635	6708	8001	11700	
9373	11720	8491	7304	5328	10838	
9209	8483	9087	6927	6065	11040	
8750	5637	9598	7707	7793	12149	
8220	6942	9882	7524	10190	13423	
8689	9916	9407	7537	12314	13582	
9086	13465	7905	8283	12827	13020	
9044	14142	6842	8980	11154	10909	
9874	12624	5947	9927	7767	8743	
10279	9164	5566	10793	5789	8039	
11060	7767	6006	11272	5570	7713	
10779	8935	5578	10188	7792	8399	
11691	11990	4402	11063	10162	9656	
11026	14641	3686	11145	11981	10944	
11331	14118	3013	11982	12724	10272	
11545	11311	3657	12093	11260	10170	
10862	7533	5295	12862	8021	9632	
11261	6465	6922	12462	6185	9611	
10888	7848	9040	12816	5454	10297	
10681	10966	9813	12371	7060	12285	
10190	13200	8670	12714	9860	12068	
10971	11799	7810	12407	11512	12852	
10851	8858	7365	13763	12051	13008	
10266	6511	8363	13510	11348	11826	
10192	7462	9188	13252	9218	9803	
10543	10546	9894	12744	7058	9457	
10555	13801	9106	12026	5758	8882	
9577	14769	5963	10821	6829	10008	
10145	12755	3336	11014	8902	9803	
9170	9094	2490	10927	11620	11321	
10098	8586	3432	10079	12982	11293	
